player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Nolimitation-Benediction,1/20/2021,19:46:46,1611222406-8,[Cryptfiend Silk Cloak],22938,item:22938::::::::60,Mainspec PvE,4,WARRIOR,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:21394:2622:::::::60:::11::::|h[Drape of Unyielding Strength]|h|r,,1,FALSE,Cloth,Back,,Coyotee-Benediction
Nolimitation-Benediction,1/20/2021,19:49:52,1611222592-17,[Toxin Injector],22810,item:22810::::::::60,Offspec/Minor Upgrade,4,WARRIOR,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:21459::::::::60:::::::|h[Crossbow of Imminent Doom]|h|r,,3,FALSE,Guns,,,Coyotee-Benediction
Cleofatra-Benediction,1/20/2021,19:46:02,1611222362-6,[Cloak of the Scourge],23030,item:23030::::::::60,Mainspec PvE,4,WARRIOR,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:21710:2622:::::::60:::11::::|h[Cloak of the Fallen God]|h|r,,1,FALSE,Cloth,Back,,Coyotee-Benediction
Dorvana-Benediction,1/20/2021,19:49:17,1611222557-15,[Ring of the Eternal Flame],23237,item:23237::::::::60,Mainspec PvE,5,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:23062::::::::60:::::::|h[Frostfire Ring]|h|r,|cffa335ee|Hitem:21709::::::::60:::11::::|h[Ring of the Fallen God]|h|r,1,FALSE,Miscellaneous,Finger,,Coyotee-Benediction
Slyba-Benediction,1/20/2021,19:43:28,1611222208-3,[Desecrated Pauldrons],22354,item:22354::::::::60,Mainspec PvE,6,ROGUE,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:21361:2606:::::::60:::11::::|h[Deathdealer's Spaulders]|h|r,,1,FALSE,Junk,,,Coyotee-Benediction
Slyba-Benediction,1/20/2021,19:48:34,1611222514-11,[Desecrated Gauntlets],22357,item:22357::::::::60,Mainspec PvE,5,ROGUE,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:16826:1887:::::::60:::::::|h[Nightslayer Gloves]|h|r,,1,FALSE,Junk,,,Coyotee-Benediction
Slyba-Benediction,1/20/2021,21:10:07,1611227407-2,[Desecrated Sabatons],22358,item:22358::::::::60,Mainspec PvE,5,ROGUE,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21359:911:::::::60:::11::::|h[Deathdealer's Boots]|h|r,,1,FALSE,Junk,,,Coyotee-Benediction
Lexani-Benediction,1/20/2021,21:10:17,1611227417-3,[Desecrated Sandals],22372,item:22372::::::::60,Mainspec PvE,6,WARLOCK,Naxxramas-40 Player,Unknown,9,533,40,|cff0070dd|Hitem:19684:911:::::::60:::::::|h[Bloodvine Boots]|h|r,,1,FALSE,Junk,,,Coyotee-Benediction
Mugwort-Benediction,1/20/2021,19:42:26,1611222146-0,[Desecrated Headpiece],22360,item:22360::::::::60,Mainspec PvE,5,SHAMAN,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:21669::::::::60:::::::|h[Creeping Vine Helm]|h|r,,1,FALSE,Junk,,,Coyotee-Benediction
Mugwort-Benediction,1/20/2021,19:45:08,1611222308-5,[Desecrated Spaulders],22361,item:22361::::::::60,Mainspec PvE,4,SHAMAN,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:18810:2604:::::::60:::::::|h[Wild Growth Spaulders]|h|r,,1,FALSE,Junk,,,Coyotee-Benediction
Puzzles-Benediction,1/20/2021,21:10:46,1611227446-5,[Boots of Displacement],23073,item:23073::::::::60,Offspec/Minor Upgrade,0,DRUID,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:19381:911:::::::60:::::::|h[Boots of the Shadow Flame]|h|r,,3,FALSE,Leather,Feet,,Coyotee-Benediction
Orczig-Benediction,1/20/2021,19:48:48,1611222528-13,[Desecrated Waistguard],22356,item:22356::::::::60,Offspec/Minor Upgrade,4,WARRIOR,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:19137::::::::60:::::::|h[Onslaught Girdle]|h|r,,3,FALSE,Junk,,,Coyotee-Benediction
Bigdrou-Benediction,1/20/2021,19:46:52,1611222412-9,[Desecrated Bindings],22369,item:22369::::::::60,Mainspec PvE,5,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:19374:1883:::::::60:::::::|h[Bracers of Arcane Accuracy]|h|r,,1,FALSE,Junk,,,Coyotee-Benediction
Vieirax-Benediction,1/20/2021,21:09:48,1611227388-1,[Girdle of the Mentor],23219,item:23219::::::::60,Mainspec PvE,5,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21692::::::::60:::::::|h[Triad Girdle]|h|r,,1,FALSE,Plate,Waist,,Coyotee-Benediction
Labignoune-Benediction,1/20/2021,19:44:31,1611222271-4,[Desecrated Shoulderpads],22368,item:22368::::::::60,Mainspec PvE,5,PRIEST,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:21694:2604:::::::60:::::::|h[Ternary Mantle]|h|r,,1,FALSE,Junk,,got my kt enchant!!!,Coyotee-Benediction
Labignoune-Benediction,1/20/2021,19:50:11,1611222611-18,[Spire of Twilight],22801,item:22801::::::::60,Mainspec PvP,5,PRIEST,Naxxramas-40 Player,Maexxna,9,533,40,|cffa335ee|Hitem:21275:2505:::::::60:::11::::|h[Blessed Qiraji Augur Staff]|h|r,,2,FALSE,Staves,Two-Hand,,Coyotee-Benediction
