player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Martyjnnetty-Benediction,1/21/21,19:40:14,1611308414-0,[Cloak of the Necropolis],23050,item:23050::::::::60,Mainspec PvE,5,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:19857:1888:::::::60:::::::|h[Cloak of Consumption]|h|r,,1,false,Cloth,Back,,Coyotee-Benediction
Yurei-Benediction,1/21/21,19:41:40,1611308500-2,[Desecrated Robe],22351,item:22351::::::::60,Mainspec PvE,4,PRIEST,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:16923::::::::60:::::::|h[Robes of Transcendence]|h|r,,1,false,Junk,,,Coyotee-Benediction
Candykong-Benediction,1/21/21,19:44:59,1611308699-6,[Slayer's Crest],23041,item:23041::::::::60,Mainspec PvE,4,WARRIOR,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cff0070dd|Hitem:13965::::::::60:::11::::|h[Blackhand's Breadth]|h|r,|cff0070dd|Hitem:13209::::::::60:::11::::|h[Seal of the Dawn]|h|r,1,false,Miscellaneous,Trinket,,Coyotee-Benediction
Madreefer-Benediction,1/21/21,20:56:14,1611312974-3,[Doomfinger],22821,item:22821::::::::60,Mainspec PvE,4,MAGE,Naxxramas-40 Player,Unknown,9,533,40,|cff0070dd|Hitem:13534::::::::60:::1::::|h[Banshee Finger]|h|r,,1,false,Wands,,,Madreefer-Benediction
Cleofatra-Benediction,1/21/21,20:56:09,1611312969-2,[Ring of the Dreadnaught],23059,item:23059::::::::60,Mainspec PvE,4,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21601::::::::60:::::::|h[Ring of Emperor Vek'lor]|h|r,|cffa335ee|Hitem:17063::::::::60:::::::|h[Band of Accuria]|h|r,1,false,Miscellaneous,Finger,,Cleofatra-Benediction
Rangebot-Benediction,1/21/21,19:42:39,1611308559-3,[Desecrated Legguards],22359,item:22359::::::::60,Mainspec PvE,4,HUNTER,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:16938:2586:::::::60:::::::|h[Dragonstalker's Legguards]|h|r,,1,false,Junk,,,Coyotee-Benediction
Groves-Benediction,1/21/21,20:57:23,1611313043-4,[The Phylactery of Kel'Thuzad],22520,item:22520::::::::60,Mainspec PvE,4,PRIEST,Naxxramas-40 Player,Unknown,9,533,40,,,1,false,Junk,,,Coyotee-Benediction
Slyba-Benediction,1/21/21,19:46:32,1611308792-8,[Might of the Scourge],23548,item:23548::::::::60,Mainspec PvE,4,ROGUE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,1,false,Quest,,,Coyotee-Benediction
Ziion-Benediction,1/21/21,19:40:24,1611308424-1,[Desecrated Robe],22351,item:22351::::::::60,Mainspec PvE,4,WARLOCK,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cff0070dd|Hitem:19682:1891:::::::60:::::::|h[Bloodvine Vest]|h|r,,1,false,Junk,,,Coyotee-Benediction
Coyle-Benediction,1/21/21,20:54:40,1611312880-0,[Stormrage's Talisman of Seething],23053,item:23053::::::::60,Mainspec PvE,5,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:18404::::::::60:::11::::|h[Onyxia Tooth Pendant]|h|r,,1,false,Miscellaneous,Neck,,Coyle-Benediction
Stango-Benediction,1/21/21,19:44:19,1611308659-4,[Band of Unnatural Forces],23038,item:23038::::::::60,Mainspec PvE,4,WARRIOR,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:18821::::::::60:::::::|h[Quick Strike Ring]|h|r,|cffa335ee|Hitem:19432::::::::60:::::::|h[Circle of Applied Force]|h|r,1,false,Miscellaneous,Finger,,Coyotee-Benediction
Schmoopaloop-Benediction,1/21/21,19:45:55,1611308755-7,[Resilience of the Scourge],23547,item:23547::::::::60,Mainspec PvE,4,DRUID,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,1,false,Quest,,,Coyotee-Benediction
Puzzles-Benediction,1/21/21,20:54:50,1611312890-1,[Ring of the Dreamwalker],23064,item:23064::::::::60,Offspec/PVP,4,DRUID,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:19432::::::::60:::::::|h[Circle of Applied Force]|h|r,|cffa335ee|Hitem:17063::::::::60:::::::|h[Band of Accuria]|h|r,3,false,Miscellaneous,Finger,,Puzzles-Benediction
Bigdrou-Benediction,1/21/21,19:44:39,1611308679-5,[Desecrated Leggings],22366,item:22366::::::::60,Mainspec PvE,4,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:21461:2588:::::::60:::::::|h[Leggings of the Black Blizzard]|h|r,,1,false,Junk,,,Coyotee-Benediction
