player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Yurei-Benediction,1/13/21,21:18:40,1610623120-23,[Desecrated Sandals],22372,item:22372::::::::60,Mainspec PvE,3,PRIEST,Naxxramas-40 Player,The Four Horsemen,9,533,40,|cffa335ee|Hitem:19897:911:::::::60:::::::|h[Betrayer's Boots]|h|r,,1,false,Junk,,,Coyotee-Benediction
Candykong-Benediction,1/13/21,19:54:46,1610618086-10,[Wristguards of Vengeance],22936,item:22936::::::::60,Mainspec PvE,3,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21618:1885:::::::60:::::::|h[Hive Defiler Wristguards]|h|r,,1,false,Plate,Wrist,,Coyotee-Benediction
Cleofatra-Benediction,1/13/21,19:56:55,1610618215-18,[Toxin Injector],22810,item:22810::::::::60,Mainspec PvE,3,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:19350::::::::60:::::::|h[Heartstriker]|h|r,,1,false,Guns,,,Coyotee-Benediction
Rangebot-Benediction,1/13/21,19:54:42,1610618082-9,[Desecrated Wristguards],22362,item:22362::::::::60,Mainspec PvE,4,HUNTER,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:16935:247:::::::60:::::::|h[Dragonstalker's Bracers]|h|r,,1,false,Junk,,,Coyotee-Benediction
Milkdudz-Benediction,1/13/21,19:52:47,1610617967-4,[Desecrated Spaulders],22361,item:22361::::::::60,Mainspec PvE,3,SHAMAN,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21376:2604:::::::60:::11::::|h[Stormcaller's Pauldrons]|h|r,,1,false,Junk,,"current 1/8, best single slot upgrade for me ",Coyotee-Benediction
Sreksin-Benediction,1/13/21,19:56:29,1610618189-16,[Desecrated Sandals],22372,item:22372::::::::60,Mainspec PvE,3,WARLOCK,Naxxramas-40 Player,Unknown,9,533,40,|cff0070dd|Hitem:19684:911:::::::60:::::::|h[Bloodvine Boots]|h|r,,1,false,Junk,,,Coyotee-Benediction
Sreksin-Benediction,1/13/21,21:18:14,1610623094-22,[Glacial Headdress],23032,item:23032::::::::60,Mainspec PvE,5,WARLOCK,Naxxramas-40 Player,The Four Horsemen,9,533,40,|cffa335ee|Hitem:21337:2544:::::::60:::11::::|h[Doomcaller's Circlet]|h|r,,1,false,Cloth,Head,,Coyotee-Benediction
Therian-Benediction,1/13/21,19:49:42,1610617782-0,[Desecrated Headpiece],22360,item:22360::::::::60,Mainspec PvE,4,SHAMAN,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:16947:2587:::::::60:::::::|h[Helmet of Ten Storms]|h|r,,1,false,Junk,,,Coyotee-Benediction
Therian-Benediction,1/13/21,19:57:00,1610618220-19,[Leggings of Elemental Fury],23665,item:23665::::::::60,Offspec/Minor Upgrade,0,SHAMAN,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:18875:2587:::::::60:::::::|h[Salamander Scale Pants]|h|r,,3,false,Mail,Legs,,Coyotee-Benediction
Cootertimer-Benediction,1/13/21,19:55:15,1610618115-12,[Desecrated Handguards],22364,item:22364::::::::60,Mainspec PvE,3,SHAMAN,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:16948:2617:::::::60:::::::|h[Gauntlets of Ten Storms]|h|r,,1,false,Junk,,,Coyotee-Benediction
Fyl-Benediction,1/13/21,19:54:49,1610618089-11,[Desecrated Gauntlets],22357,item:22357::::::::60,Mainspec PvE,3,ROGUE,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:16907:1887:::::::60:::::::|h[Bloodfang Gloves]|h|r,,1,false,Junk,,,Coyotee-Benediction
Fyl-Benediction,1/13/21,19:55:42,1610618142-14,[Desecrated Waistguard],22356,item:22356::::::::60,Mainspec PvE,3,ROGUE,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:16910::::::::60:::::::|h[Bloodfang Belt]|h|r,,1,false,Junk,,,Coyotee-Benediction
